tier,node_name,parent,PSI_attribute,year,week_no,lot_id
0,supply_point,root,0,2025,1,
0,supply_point,root,0,2025,2,
0,supply_point,root,0,2025,3,
0,supply_point,root,0,2025,4,
0,supply_point,root,0,2025,5,
0,supply_point,root,0,2025,6,
0,supply_point,root,0,2025,7,
0,supply_point,root,0,2025,8,
0,supply_point,root,0,2025,9,
0,supply_point,root,0,2025,10,
0,supply_point,root,0,2025,11,
0,supply_point,root,0,2025,12,
0,supply_point,root,0,2025,13,
0,supply_point,root,0,2025,14,
0,supply_point,root,0,2025,15,
0,supply_point,root,0,2025,16,
0,supply_point,root,0,2025,17,
0,supply_point,root,0,2025,18,
0,supply_point,root,0,2025,19,
0,supply_point,root,0,2025,20,
0,supply_point,root,0,2025,21,
0,supply_point,root,0,2025,22,
0,supply_point,root,0,2025,23,
0,supply_point,root,0,2025,24,
0,supply_point,root,0,2025,25,
0,supply_point,root,0,2025,26,
0,supply_point,root,0,2025,27,
0,supply_point,root,0,2025,28,
0,supply_point,root,0,2025,29,
0,supply_point,root,0,2025,30,
0,supply_point,root,0,2025,31,
0,supply_point,root,0,2025,32,
0,supply_point,root,0,2025,33,
0,supply_point,root,0,2025,34,
0,supply_point,root,0,2025,35,
0,supply_point,root,0,2025,36,
0,supply_point,root,0,2025,37,
0,supply_point,root,0,2025,38,
0,supply_point,root,0,2025,39,
0,supply_point,root,0,2025,40,
0,supply_point,root,0,2025,41,
0,supply_point,root,0,2025,42,
0,supply_point,root,0,2025,43,
0,supply_point,root,0,2025,44,
0,supply_point,root,0,2025,45,
0,supply_point,root,0,2025,46,
0,supply_point,root,0,2025,47,
0,supply_point,root,0,2025,48,
0,supply_point,root,0,2025,49,
0,supply_point,root,0,2025,50,
0,supply_point,root,0,2025,51,
0,supply_point,root,0,2025,52,
0,supply_point,root,0,2025,53,
0,supply_point,root,0,2026,1,
0,supply_point,root,0,2026,2,
0,supply_point,root,0,2026,3,
0,supply_point,root,0,2026,4,
0,supply_point,root,0,2026,5,
0,supply_point,root,0,2026,6,
0,supply_point,root,0,2026,7,
0,supply_point,root,0,2026,8,
0,supply_point,root,0,2026,9,
0,supply_point,root,0,2026,10,
0,supply_point,root,0,2026,11,
0,supply_point,root,0,2026,12,
0,supply_point,root,0,2026,13,
0,supply_point,root,0,2026,14,
0,supply_point,root,0,2026,15,
0,supply_point,root,0,2026,16,
0,supply_point,root,0,2026,17,
0,supply_point,root,0,2026,18,
0,supply_point,root,0,2026,19,
0,supply_point,root,0,2026,20,
0,supply_point,root,0,2026,21,
0,supply_point,root,0,2026,22,
0,supply_point,root,0,2026,23,
0,supply_point,root,0,2026,24,
0,supply_point,root,0,2026,25,
0,supply_point,root,0,2026,26,
0,supply_point,root,0,2026,27,
0,supply_point,root,0,2026,28,
0,supply_point,root,0,2026,29,
0,supply_point,root,0,2026,30,
0,supply_point,root,0,2026,31,
0,supply_point,root,0,2026,32,
0,supply_point,root,0,2026,33,
0,supply_point,root,0,2026,34,
0,supply_point,root,0,2026,35,
0,supply_point,root,0,2026,36,
0,supply_point,root,0,2026,37,
0,supply_point,root,0,2026,38,
0,supply_point,root,0,2026,39,
0,supply_point,root,0,2026,40,
0,supply_point,root,0,2026,41,
0,supply_point,root,0,2026,42,
0,supply_point,root,0,2026,43,
0,supply_point,root,0,2026,44,
0,supply_point,root,0,2026,45,
0,supply_point,root,0,2026,46,
0,supply_point,root,0,2026,47,
0,supply_point,root,0,2026,48,
0,supply_point,root,0,2026,49,
0,supply_point,root,0,2026,50,
0,supply_point,root,0,2026,51,
0,supply_point,root,0,2026,52,
0,supply_point,root,0,2026,53,
0,supply_point,root,0,2027,1,
0,supply_point,root,0,2027,2,
0,supply_point,root,0,2027,3,
0,supply_point,root,0,2027,4,
0,supply_point,root,0,2027,5,
0,supply_point,root,0,2027,6,
0,supply_point,root,0,2027,7,
0,supply_point,root,0,2027,8,
0,supply_point,root,0,2027,9,
0,supply_point,root,0,2027,10,
