product_name,node_name,year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
prod-A,CAN,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CAN,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CAN_D,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CAN_D,2024,100,146,183,158,171,295,219,243,231,207,195,219
prod-A,CAN_I,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CAN_I,2024,122,146,183,158,171,195,219,243,231,207,195,219
prod-A,CAN_N,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,CAN_N,2024,122,146,183,158,171,195,219,243,231,207,195,219
prod-A,FRALEAF,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,FRALEAF,2024,24,29,37,32,34,39,44,49,46,41,39,44
prod-A,HAM,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,HAM,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,HAM_D,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,HAM_D,2024,37,44,55,48,51,58,66,73,69,62,58,66
prod-A,HAM_I,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,HAM_I,2024,37,44,55,48,51,58,66,73,69,62,58,66
prod-A,HAM_N,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,HAM_N,2024,37,44,55,48,51,58,66,73,69,62,58,66
prod-A,JPN,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,JPN,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,MUC,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,MUC,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,MUC_D,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,MUC_D,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,MUC_I,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,MUC_I,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,MUC_N,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,MUC_N,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,SHA,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,SHA_D,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,SHA_D,2024,244,293,365,317,341,390,438,487,463,414,390,438
prod-A,SHA_I,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,SHA_I,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,SHA_N,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,SHA_N,2024,244,293,365,317,341,390,438,487,463,414,390,438
prod-A,NYC,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,NYC_D,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,NYC_D,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,NYC_I,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,NYC_I,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,NYC_N,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,NYC_N,2024,330,350,365,317,341,390,438,487,463,414,390,438
prod-A,LAX,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,LAX_D,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,LAX_D,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,LAX_I,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,LAX_I,2024,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,LAX_N,2023,0,0,0,0,0,0,0,0,0,0,0,0
prod-A,LAX_N,2024,244,293,365,317,341,390,438,487,463,414,390,438
