Parent_node,Child_node,child_node_name,lot_size,leadtime,process_capa,long_vacation_weeks,Price_a_planning_lot_size,AVE_PRICE_shipped_pack_lot,Cash_Intrest,PO_Mng_cost,Purchase_cost,REVENUE_RATIO,SGMC_ratio,WH_COST_RATIO,WH_COST_RATIO_aWeek,distribution_condition,LOT_SIZE,LT_boat,LT_air,LT_qourier,Indivisual_Packing,Packing_Lot,Transport_Lot,planning_lot_size,Distriburion_Cost,weeks_year,SS_days,TAX_currency_condition,HS_code,customs_tariff_rate,income_tax_from,income_tax_to,forex_rate_USD_from,forex_rate_USD_to,cost_standard_flag,PSI_graph_flag,buffering_stock_flag
root,supply_point,supply_point,10,2,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,ON,OFF
supply_point,MOMEURO,MOMEURO,10,2,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,ON
supply_point,MOMASIA,MOMASIA,10,2,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,ON,ON
supply_point,MOMAMER,MOMAMER,10,2,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,ON
MOMEURO,Platform_EU,Platform_EU,10,1,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
MOMEURO,powerunit_EU,powerunit_EU,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,9,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,ON,OFF
MOMEURO,Cockpit_EU,Cockpit_EU,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,4,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,ON,OFF
MOMEURO,Transmission_EU,Transmission_EU,10,1,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
MOMEURO,Body_EU,Body_EU,10,1,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Platform_EU,frame_EU,frame_EU,10,1,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,9,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Platform_EU,wheels_EU,wheels_EU,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,4,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
powerunit_EU,motor_EU,motor_EU,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
powerunit_EU,battery_AS,battery_AS,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Cockpit_EU,steering_EU,steering_EU,10,3,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,9,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Cockpit_EU,monitor_EU,monitor_EU,10,2,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,4,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Body_EU,steel_EU,steel_EU,10,2,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Body_EU,windows_EU,windows_EU,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
Body_EU,wireharness_EU,wireharness_EU,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,9,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,ON,OFF
motor_EU,core_EU,core_EU,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,4,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,ON,OFF
motor_EU,coil_EU,coil_EU,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,1,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,ON,OFF
motor_EU,cover_EU,cover_EU,10,2,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,100,ON,OFF
MOMASIA,Platform_AS,Platform_AS,10,1,400,[],0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,7,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,ON,OFF
MOMASIA,powerunit_AS,powerunit_AS,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,9,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,ON,OFF
MOMASIA,Cockpit_AS,Cockpit_AS,10,1,400,"[8,15,20,21,22,50,   8+52,15+52,20+52,21+52,22+52,50+52,   8+52*2,15+52*2,20+52*2,21+52*2,22+52*2,50+52*2 ]",0.025,7.5,0.05,0.05,0.4,1,0.3,0.01,0,profile,3,4,2,1,1,6,2,12,6,52,10,profile,8703.8,0,0,0,0,0,0,OFF,OFF
